# emoji-zwj-sequences.txt
# Date: 2018-02-07, 08:40:26 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequences for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji ZWJ Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    #  6.0  [1] (👨‍❤️‍👨)
1F469 1F3FB 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; woman teacher: light skin tone                                 #  8.0  [1] (👩🏻‍🏫)
1F469 1F3FB 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; woman factory worker: light skin tone                          #  8.0  [1] (👩🏻‍🏭)
1F469 1F3FB 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; woman technologist: light skin tone                            #  8.0  [1] (👩🏻‍💻)
1F469 1F3FB 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; woman office worker: light skin tone                           #  8.0  [1] (👩🏻‍💼)
1F469 1F3FB 200D 1F527                      ; Emoji_ZWJ_Sequence  ; woman mechanic: light skin tone                                #  8.0  [1] (👩🏻‍🔧)
1F469 1F3FB 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; woman scientist: light skin tone                               #  8.0  [1] (👩🏻‍🔬)
1F469 1F3FB 200D 1F680                      ; Emoji_ZWJ_Sequence  ; woman astronaut: light skin tone                               #  8.0  [1] (👩🏻‍🚀)
1F469 1F3FB 200D 1F692                      ; Emoji_ZWJ_Sequence  ; woman firefighter: light skin tone                             #  8.0  [1] (👩🏻‍🚒)
1F469 1F3FB 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; woman, red haired: light skin tone                             # 11.0  [1] (👩🏻‍🦰)
1F469 1F3FB 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; woman, curly haired: light skin tone                           # 11.0  [1] (👩🏻‍🦱)
1F469 1F3FB 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; woman, bald: light skin tone                                   # 11.0  [1] (👩🏻‍🦲)
1F469 1F3FB 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; woman, white haired: light skin tone                           # 11.0  [1] (👩🏻‍🦳)
1F469 1F3FC 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; woman health worker: medium-light skin tone                    #  8.0  [1] (👩🏼‍⚕️)
1F469 1F3FC 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; woman judge: medium-light skin tone                            #  8.0  [1] (👩🏼‍⚖️)
1F469 1F3FC 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pilot: medium-light skin tone                            #  8.0  [1] (👩🏼‍✈️)
1F469 1F3FC 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; woman farmer: medium-light skin tone                           #  8.0  [1] (👩🏼‍🌾)
1F469 1F3FC 200D 1F373                      ; Emoji_ZWJ_Sequence  ; woman cook: medium-light skin tone                             #  8.0  [1] (👩🏼‍🍳)
1F469 1F3FC 200D 1F393                      ; Emoji_ZWJ_Sequence  ; woman student: medium-light skin tone                          #  8.0  [1] (👩🏼‍🎓)
1F469 1F3FC 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; woman singer: medium-light skin tone                           #  8.0  [1] (👩🏼‍🎤)
1F469 1F3FC 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; woman artist: medium-light skin tone                           #  8.0  [1] (👩🏼‍🎨)
1F469 1F3FC 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; woman teacher: medium-light skin tone                          #  8.0  [1] (👩🏼‍🏫)
1F469 1F3FC 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; woman factory worker: medium-light skin tone                   #  8.0  [1] (👩🏼‍🏭)
1F469 1F3FC 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; woman technologist: medium-light skin tone                     #  8.0  [1] (👩🏼‍💻)
1F469 1F3FC 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; woman office worker: medium-light skin tone                    #  8.0  [1] (👩🏼‍💼)
1F469 1F3FC 200D 1F527                      ; Emoji_ZWJ_Sequence  ; woman mechanic: medium-light skin tone                         #  8.0  [1] (👩🏼‍🔧)
1F469 1F3FC 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; woman scientist: medium-light skin tone                        #  8.0  [1] (👩🏼‍🔬)
1F469 1F3FC 200D 1F680                      ; Emoji_ZWJ_Sequence  ; woman astronaut: medium-light skin tone                        #  8.0  [1] (👩🏼‍🚀)
1F469 1F3FC 200D 1F692                      ; Emoji_ZWJ_Sequence  ; woman firefighter: medium-light skin tone                      #  8.0  [1] (👩🏼‍🚒)
1F469 1F3FC 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; woman, red haired: medium-light skin tone                      # 11.0  [1] (👩🏼‍🦰)
1F469 1F3FC 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; woman, curly haired: medium-light skin tone                    # 11.0  [1] (👩🏼‍🦱)
1F469 1F3FC 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; woman, bald: medium-light skin tone                            # 11.0  [1] (👩🏼‍🦲)
1F469 1F3FC 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; woman, white haired: medium-light skin tone                    # 11.0  [1] (👩🏼‍🦳)
1F469 1F3FD 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; woman health worker: medium skin tone                          #  8.0  [1] (👩🏽‍⚕️)
1F469 1F3FD 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; woman judge: medium skin tone                                  #  8.0  [1] (👩🏽‍⚖️)
1F469 1F3FD 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pilot: medium skin tone                                  #  8.0  [1] (👩🏽‍✈️)
1F469 1F3FD 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; woman farmer: medium skin tone                                 #  8.0  [1] (👩🏽‍🌾)
1F469 1F3FD 200D 1F373                      ; Emoji_ZWJ_Sequence  ; woman cook: medium skin tone                                   #  8.0  [1] (👩🏽‍🍳)
1F469 1F3FD 200D 1F393                      ; Emoji_ZWJ_Sequence  ; woman student: medium skin tone                                #  8.0  [1] (👩🏽‍🎓)
1F469 1F3FD 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; woman singer: medium skin tone                                 #  8.0  [1] (👩🏽‍🎤)
1F469 1F3FD 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; woman artist: medium skin tone                                 #  8.0  [1] (👩🏽‍🎨)
1F469 1F3FD 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; woman teacher: medium skin tone                                #  8.0  [1] (👩🏽‍🏫)
1F469 1F3FD 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; woman factory worker: medium skin tone                         #  8.0  [1] (👩🏽‍🏭)
1F469 1F3FD 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; woman technologist: medium skin tone                           #  8.0  [1] (👩🏽‍💻)
1F469 1F3FD 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; woman office worker: medium skin tone                          #  8.0  [1] (👩🏽‍💼)
1F469 1F3FD 200D 1F527                      ; Emoji_ZWJ_Sequence  ; woman mechanic: medium skin tone                               #  8.0  [1] (👩🏽‍🔧)
1F469 1F3FD 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; woman scientist: medium skin tone                              #  8.0  [1] (👩🏽‍🔬)
1F469 1F3FD 200D 1F680                      ; Emoji_ZWJ_Sequence  ; woman astronaut: medium skin tone                              #  8.0  [1] (👩🏽‍🚀)
1F469 1F3FD 200D 1F692                      ; Emoji_ZWJ_Sequence  ; woman firefighter: medium skin tone                            #  8.0  [1] (👩🏽‍🚒)
1F469 1F3FD 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; woman, red haired: medium skin tone                            # 11.0  [1] (👩🏽‍🦰)
1F469 1F3FD 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; woman, curly haired: medium skin tone                          # 11.0  [1] (👩🏽‍🦱)
1F469 1F3FD 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; woman, bald: medium skin tone                                  # 11.0  [1] (👩🏽‍🦲)
1F469 1F3FD 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; woman, white haired: medium skin tone                          # 11.0  [1] (👩🏽‍🦳)
1F469 1F3FE 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; woman health worker: medium-dark skin tone                     #  8.0  [1] (👩🏾‍⚕️)
1F469 1F3FE 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; woman judge: medium-dark skin tone                             #  8.0  [1] (👩🏾‍⚖️)
1F469 1F3FE 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pilot: medium-dark skin tone                             #  8.0  [1] (👩🏾‍✈️)
1F469 1F3FE 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; woman farmer: medium-dark skin tone                            #  8.0  [1] (👩🏾‍🌾)
1F469 1F3FE 200D 1F373                      ; Emoji_ZWJ_Sequence  ; woman cook: medium-dark skin tone                              #  8.0  [1] (👩🏾‍🍳)
1F469 1F3FE 200D 1F393                      ; Emoji_ZWJ_Sequence  ; woman student: medium-dark skin tone                           #  8.0  [1] (👩🏾‍🎓)
1F469 1F3FE 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; woman singer: medium-dark skin tone                            #  8.0  [1] (👩🏾‍🎤)
1F469 1F3FE 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; woman artist: medium-dark skin tone                            #  8.0  [1] (👩🏾‍🎨)
1F469 1F3FE 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; woman teacher: medium-dark skin tone                           #  8.0  [1] (👩🏾‍🏫)
1F469 1F3FE 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; woman factory worker: medium-dark skin tone                    #  8.0  [1] (👩🏾‍🏭)
1F469 1F3FE 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; woman technologist: medium-dark skin tone                      #  8.0  [1] (👩🏾‍💻)
1F469 1F3FE 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; woman office worker: medium-dark skin tone                     #  8.0  [1] (👩🏾‍💼)
1F469 1F3FE 200D 1F527                      ; Emoji_ZWJ_Sequence  ; woman mechanic: medium-dark skin tone                          #  8.0  [1] (👩🏾‍🔧)
1F469 1F3FE 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; woman scientist: medium-dark skin tone                         #  8.0  [1] (👩🏾‍🔬)
1F469 1F3FE 200D 1F680                      ; Emoji_ZWJ_Sequence  ; woman astronaut: medium-dark skin tone                         #  8.0  [1] (👩🏾‍🚀)
1F469 1F3FE 200D 1F692                      ; Emoji_ZWJ_Sequence  ; woman firefighter: medium-dark skin tone                       #  8.0  [1] (👩🏾‍🚒)
1F469 1F3FE 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; woman, red haired: medium-dark skin tone                       # 11.0  [1] (👩🏾‍🦰)
1F469 1F3FE 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; woman, curly haired: medium-dark skin tone                     # 11.0  [1] (👩🏾‍🦱)
1F469 1F3FE 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; woman, bald: medium-dark skin tone                             # 11.0  [1] (👩🏾‍🦲)
1F469 1F3FE 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; woman, white haired: medium-dark skin tone                     # 11.0  [1] (👩🏾‍🦳)
1F469 1F3FF 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; woman health worker: dark skin tone                            #  8.0  [1] (👩🏿‍⚕️)
1F469 1F3FF 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; woman judge: dark skin tone                                    #  8.0  [1] (👩🏿‍⚖️)
1F469 1F3FF 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pilot: dark skin tone                                    #  8.0  [1] (👩🏿‍✈️)
1F469 1F3FF 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; woman farmer: dark skin tone                                   #  8.0  [1] (👩🏿‍🌾)
1F469 1F3FF 200D 1F373                      ; Emoji_ZWJ_Sequence  ; woman cook: dark skin tone                                     #  8.0  [1] (👩🏿‍🍳)
1F469 1F3FF 200D 1F393                      ; Emoji_ZWJ_Sequence  ; woman student: dark skin tone                                  #  8.0  [1] (👩🏿‍🎓)
1F469 1F3FF 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; woman singer: dark skin tone                                   #  8.0  [1] (👩🏿‍🎤)
1F469 1F3FF 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; woman artist: dark skin tone                                   #  8.0  [1] (👩🏿‍🎨)
1F469 1F3FF 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; woman teacher: dark skin tone                                  #  8.0  [1] (👩🏿‍🏫)
1F469 1F3FF 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; woman factory worker: dark skin tone                           #  8.0  [1] (👩🏿‍🏭)
1F469 1F3FF 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; woman technologist: dark skin tone                             #  8.0  [1] (👩🏿‍💻)
1F469 1F3FF 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; woman office worker: dark skin tone                            #  8.0  [1] (👩🏿‍💼)
1F469 1F3FF 200D 1F527                      ; Emoji_ZWJ_Sequence  ; woman mechanic: dark skin tone                                 #  8.0  [1] (👩🏿‍🔧)
1F469 1F3FF 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; woman scientist: dark skin tone                                #  8.0  [1] (👩🏿‍🔬)
1F469 1F3FF 200D 1F680                      ; Emoji_ZWJ_Sequence  ; woman astronaut: dark skin tone                                #  8.0  [1] (👩🏿‍🚀)
1F469 1F3FF 200D 1F692                      ; Emoji_ZWJ_Sequence  ; woman firefighter: dark skin tone                              #  8.0  [1] (👩🏿‍🚒)
1F469 1F3FF 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; woman, red haired: dark skin tone                              # 11.0  [1] (👩🏿‍🦰)
1F469 1F3FF 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; woman, curly haired: dark skin tone                            # 11.0  [1] (👩🏿‍🦱)
1F469 1F3FF 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; woman, bald: dark skin tone                                    # 11.0  [1] (👩🏿‍🦲)
1F469 1F3FF 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; woman, white haired: dark skin tone                            # 11.0  [1] (👩🏿‍🦳)

# Total elements: 240

# ================================================

# Emoji ZWJ Sequence: Gendered Role

1F46E 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman police officer                                           #  6.0  [1] (👮‍♀️)
1F46E 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man police officer                                             #  6.0  [1] (👮‍♂️)
1F46E 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman police officer: light skin tone                          #  8.0  [1] (👮🏻‍♀️)
1F46E 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man police officer: light skin tone                            #  8.0  [1] (👮🏻‍♂️)
1F46E 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman police officer: medium-light skin tone                   #  8.0  [1] (👮🏼‍♀️)
1F46E 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man police officer: medium-light skin tone                     #  8.0  [1] (👮🏼‍♂️)
1F46E 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman police officer: medium skin tone                         #  8.0  [1] (👮🏽‍♀️)
1F46E 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man police officer: medium skin tone                           #  8.0  [1] (👮🏽‍♂️)
1F46E 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman police officer: medium-dark skin tone                    #  8.0  [1] (👮🏾‍♀️)
1F46E 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man police officer: medium-dark skin tone                      #  8.0  [1] (👮🏾‍♂️)
1F46E 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman police officer: dark skin tone                           #  8.0  [1] (👮🏿‍♀️)
1F46E 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man police officer: dark skin tone                             #  8.0  [1] (👮🏿‍♂️)
1F471 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; blond-haired woman                                             #  6.0  [1] (👱‍♀️)
1F471 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; blond-haired man                                               #  6.0  [1] (👱‍♂️)
1F471 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired woman: light skin tone                            #  8.0  [1] (👱🏻‍♀️)
1F471 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired man: light skin tone                              #  8.0  [1] (👱🏻‍♂️)
1F471 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired woman: medium-light skin tone                     #  8.0  [1] (👱🏼‍♀️)
1F471 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired man: medium-light skin tone                       #  8.0  [1] (👱🏼‍♂️)
1F471 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired woman: medium skin tone                           #  8.0  [1] (👱🏽‍♀️)
1F471 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired man: medium skin tone                             #  8.0  [1] (👱🏽‍♂️)
1F471 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired woman: medium-dark skin tone                      #  8.0  [1] (👱🏾‍♀️)
1F471 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired man: medium-dark skin tone                        #  8.0  [1] (👱🏾‍♂️)
1F471 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired woman: dark skin tone                             #  8.0  [1] (👱🏿‍♀️)
1F471 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; blond-haired man: dark skin tone                               #  8.0  [1] (👱🏿‍♂️)
1F473 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman wearing turban                                           #  6.0  [1] (👳‍♀️)
1F473 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man wearing turban                                             #  6.0  [1] (👳‍♂️)
1F473 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman wearing turban: light skin tone                          #  8.0  [1] (👳🏻‍♀️)
1F473 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man wearing turban: light skin tone                            #  8.0  [1] (👳🏻‍♂️)
1F473 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman wearing turban: medium-light skin tone                   #  8.0  [1] (👳🏼‍♀️)
1F473 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man wearing turban: medium-light skin tone                     #  8.0  [1] (👳🏼‍♂️)
1F473 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman wearing turban: medium skin tone                         #  8.0  [1] (👳🏽‍♀️)
1F473 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man wearing turban: medium skin tone                           #  8.0  [1] (👳🏽‍♂️)
1F473 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman wearing turban: medium-dark skin tone                    #  8.0  [1] (👳🏾‍♀️)
1F473 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man wearing turban: medium-dark skin tone                      #  8.0  [1] (👳🏾‍♂️)
1F473 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman wearing turban: dark skin tone                           #  8.0  [1] (👳🏿‍♀️)
1F473 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man wearing turban: dark skin tone                             #  8.0  [1] (👳🏿‍♂️)
1F477 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman construction worker                                      #  6.0  [1] (👷‍♀️)
1F477 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man construction worker                                        #  6.0  [1] (👷‍♂️)
1F477 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman construction worker: light skin tone                     #  8.0  [1] (👷🏻‍♀️)
1F477 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man construction worker: light skin tone                       #  8.0  [1] (👷🏻‍♂️)
1F477 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman construction worker: medium-light skin tone              #  8.0  [1] (👷🏼‍♀️)
1F477 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man construction worker: medium-light skin tone                #  8.0  [1] (👷🏼‍♂️)
1F477 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman construction worker: medium skin tone                    #  8.0  [1] (👷🏽‍♀️)
1F477 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man construction worker: medium skin tone                      #  8.0  [1] (👷🏽‍♂️)
1F477 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman construction worker: medium-dark skin tone               #  8.0  [1] (👷🏾‍♀️)
1F477 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man construction worker: medium-dark skin tone                 #  8.0  [1] (👷🏾‍♂️)
1F477 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman construction worker: dark skin tone                      #  8.0  [1] (👷🏿‍♀️)
1F477 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man construction worker: dark skin tone                        #  8.0  [1] (👷🏿‍♂️)
1F482 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman guard                                                    #  6.0  [1] (💂‍♀️)
1F482 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man guard                                                      #  6.0  [1] (💂‍♂️)
1F482 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman guard: light skin tone                                   #  8.0  [1] (💂🏻‍♀️)
1F482 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man guard: light skin tone                                     #  8.0  [1] (💂🏻‍♂️)
1F482 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman guard: medium-light skin tone                            #  8.0  [1] (💂🏼‍♀️)
1F482 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man guard: medium-light skin tone                              #  8.0  [1] (💂🏼‍♂️)
1F482 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman guard: medium skin tone                                  #  8.0  [1] (💂🏽‍♀️)
1F482 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man guard: medium skin tone                                    #  8.0  [1] (💂🏽‍♂️)
1F482 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman guard: medium-dark skin tone                             #  8.0  [1] (💂🏾‍♀️)
1F482 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man guard: medium-dark skin tone                               #  8.0  [1] (💂🏾‍♂️)
1F482 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman guard: dark skin tone                                    #  8.0  [1] (💂🏿‍♀️)
1F482 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man guard: dark skin tone                                      #  8.0  [1] (💂🏿‍♂️)
1F575 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman detective: light skin tone                               #  8.0  [1] (🕵🏻‍♀️)
1F575 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man detective: light skin tone                                 #  8.0  [1] (🕵🏻‍♂️)
1F575 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman detective: medium-light skin tone                        #  8.0  [1] (🕵🏼‍♀️)
1F575 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man detective: medium-light skin tone                          #  8.0  [1] (🕵🏼‍♂️)
1F575 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman detective: medium skin tone                              #  8.0  [1] (🕵🏽‍♀️)
1F575 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man detective: medium skin tone                                #  8.0  [1] (🕵🏽‍♂️)
1F575 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman detective: medium-dark skin tone                         #  8.0  [1] (🕵🏾‍♀️)
1F575 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man detective: medium-dark skin tone                           #  8.0  [1] (🕵🏾‍♂️)
1F575 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman detective: dark skin tone                                #  8.0  [1] (🕵🏿‍♀️)
1F575 1F3FF 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man detective: dark skin tone                                  #  8.0  [1] (🕵🏿‍♂️)
1F575 FE0F 200D 2640 FE0F                   ; Emoji_ZWJ_Sequence  ; woman detective                                                #  7.0  [1] (🕵️‍♀️)
1F575 FE0F 200D 2642 FE0F                   ; Emoji_ZWJ_Sequence  ; man detective                                                  #  7.0  [1] (🕵️‍♂️)
1F9D9 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; woman mage                                                     # 10.0  [1] (🧙‍♀️)
1F9D9 200D 2642 FE0F                        ; Emoji_ZWJ_Sequence  ; man mage                                                       # 10.0  [1] (🧙‍♂️)
1F9D9 1F3FB 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mage: light skin tone                                    # 10.0  [1] (🧙🏻‍♀️)
1F9D9 1F3FB 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mage: light skin tone                                      # 10.0  [1] (🧙🏻‍♂️)
1F9D9 1F3FC 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mage: medium-light skin tone                             # 10.0  [1] (🧙🏼‍♀️)
1F9D9 1F3FC 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mage: medium-light skin tone                               # 10.0  [1] (🧙🏼‍♂️)
1F9D9 1F3FD 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mage: medium skin tone                                   # 10.0  [1] (🧙🏽‍♀️)
1F9D9 1F3FD 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mage: medium skin tone                                     # 10.0  [1] (🧙🏽‍♂️)
1F9D9 1F3FE 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mage: medium-dark skin tone                              # 10.0  [1] (🧙🏾‍♀️)
1F9D9 1F3FE 200D 2642 FE0F                  ; Emoji_ZWJ_Sequence  ; man mage: medium-dark skin tone                                # 10.0  [1] (🧙🏾‍♂️)
1F9D9 1F3FF 200D 2640 FE0F                  ; Emoji_ZWJ_Sequence  ; woman mage: dark skin tone                                     # 10.0  [1] (🧙🏿‍♀️)
