# emoji-sequences.txt
# Date: 2018-02-07, 07:55:18 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: any of {Emoji_Combining_Sequence, Emoji_Flag_Sequence, Emoji_Modifier_Sequence}
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji Keycap Sequence

0023 FE0F 20E3; Emoji_Keycap_Sequence     ; keycap: \x{23}                                                 #  3.0  [1] (#️⃣)
1F1F8 1F1FB   ; Emoji_Flag_Sequence       ; El Salvador                                                    #  6.0  [1] (🇸🇻)
1F1F8 1F1FD   ; Emoji_Flag_Sequence       ; Sint Maarten                                                   #  6.0  [1] (🇸🇽)
1F1F8 1F1FE   ; Emoji_Flag_Sequence       ; Syria                                                          #  6.0  [1] (🇸🇾)
1F1F8 1F1FF   ; Emoji_Flag_Sequence       ; Swaziland                                                      #  6.0  [1] (🇸🇿)
1F1F9 1F1E6   ; Emoji_Flag_Sequence       ; Tristan da Cunha                                               #  6.0  [1] (🇹🇦)
1F1F9 1F1E8   ; Emoji_Flag_Sequence       ; Turks & Caicos Islands                                         #  6.0  [1] (🇹🇨)
1F1F9 1F1E9   ; Emoji_Flag_Sequence       ; Chad                                                           #  6.0  [1] (🇹🇩)
1F1F9 1F1EB   ; Emoji_Flag_Sequence       ; French Southern Territories                                    #  6.0  [1] (🇹🇫)
1F1F9 1F1EC   ; Emoji_Flag_Sequence       ; Togo                                                           #  6.0  [1] (🇹🇬)
1F1F9 1F1ED   ; Emoji_Flag_Sequence       ; Thailand                                                       #  6.0  [1] (🇹🇭)
1F1F9 1F1EF   ; Emoji_Flag_Sequence       ; Tajikistan                                                     #  6.0  [1] (🇹🇯)
1F1F9 1F1F0   ; Emoji_Flag_Sequence       ; Tokelau                                                        #  6.0  [1] (🇹🇰)
1F1F9 1F1F1   ; Emoji_Flag_Sequence       ; Timor-Leste                                                    #  6.0  [1] (🇹🇱)
1F1F9 1F1F2   ; Emoji_Flag_Sequence       ; Turkmenistan                                                   #  6.0  [1] (🇹🇲)
1F1F9 1F1F3   ; Emoji_Flag_Sequence       ; Tunisia                                                        #  6.0  [1] (🇹🇳)
1F1F9 1F1F4   ; Emoji_Flag_Sequence       ; Tonga                                                          #  6.0  [1] (🇹🇴)
1F1F9 1F1F7   ; Emoji_Flag_Sequence       ; Turkey                                                         #  6.0  [1] (🇹🇷)
1F1F9 1F1F9   ; Emoji_Flag_Sequence       ; Trinidad & Tobago                                              #  6.0  [1] (🇹🇹)
1F1F9 1F1FB   ; Emoji_Flag_Sequence       ; Tuvalu                                                         #  6.0  [1] (🇹🇻)
1F1F9 1F1FC   ; Emoji_Flag_Sequence       ; Taiwan                                                         #  6.0  [1] (🇹🇼)
1F1F9 1F1FF   ; Emoji_Flag_Sequence       ; Tanzania                                                       #  6.0  [1] (🇹🇿)
1F1FA 1F1E6   ; Emoji_Flag_Sequence       ; Ukraine                                                        #  6.0  [1] (🇺🇦)
1F1FA 1F1EC   ; Emoji_Flag_Sequence       ; Uganda                                                         #  6.0  [1] (🇺🇬)
1F1FA 1F1F2   ; Emoji_Flag_Sequence       ; U.S. Outlying Islands                                          #  6.0  [1] (🇺🇲)
1F1FA 1F1F3   ; Emoji_Flag_Sequence       ; United Nations                                                 #  6.0  [1] (🇺🇳)
1F1FA 1F1F8   ; Emoji_Flag_Sequence       ; United States                                                  #  6.0  [1] (🇺🇸)
1F1FA 1F1FE   ; Emoji_Flag_Sequence       ; Uruguay                                                        #  6.0  [1] (🇺🇾)
1F1FA 1F1FF   ; Emoji_Flag_Sequence       ; Uzbekistan                                                     #  6.0  [1] (🇺🇿)
1F1FB 1F1E6   ; Emoji_Flag_Sequence       ; Vatican City                                                   #  6.0  [1] (🇻🇦)
1F1FB 1F1E8   ; Emoji_Flag_Sequence       ; St. Vincent & Grenadines                                       #  6.0  [1] (🇻🇨)
1F1FB 1F1EA   ; Emoji_Flag_Sequence       ; Venezuela                                                      #  6.0  [1] (🇻🇪)
1F1FB 1F1EC   ; Emoji_Flag_Sequence       ; British Virgin Islands                                         #  6.0  [1] (🇻🇬)
1F1FB 1F1EE   ; Emoji_Flag_Sequence       ; U.S. Virgin Islands                                            #  6.0  [1] (🇻🇮)
1F1FB 1F1F3   ; Emoji_Flag_Sequence       ; Vietnam                                                        #  6.0  [1] (🇻🇳)
1F1FB 1F1FA   ; Emoji_Flag_Sequence       ; Vanuatu                                                        #  6.0  [1] (🇻🇺)
1F1FC 1F1EB   ; Emoji_Flag_Sequence       ; Wallis & Futuna                                                #  6.0  [1] (🇼🇫)
1F1FC 1F1F8   ; Emoji_Flag_Sequence       ; Samoa                                                          #  6.0  [1] (🇼🇸)
1F1FD 1F1F0   ; Emoji_Flag_Sequence       ; Kosovo                                                         #  6.0  [1] (🇽🇰)
1F1FE 1F1EA   ; Emoji_Flag_Sequence       ; Yemen                                                          #  6.0  [1] (🇾🇪)
1F1FE 1F1F9   ; Emoji_Flag_Sequence       ; Mayotte                                                        #  6.0  [1] (🇾🇹)
1F1FF 1F1E6   ; Emoji_Flag_Sequence       ; South Africa                                                   #  6.0  [1] (🇿🇦)
1F1FF 1F1F2   ; Emoji_Flag_Sequence       ; Zambia                                                         #  6.0  [1] (🇿🇲)
1F1FF 1F1FC   ; Emoji_Flag_Sequence       ; Zimbabwe                                                       #  6.0  [1] (🇿🇼)

# Total elements: 258

# ================================================

# Emoji Tag Sequence: See Annex C of TR51 for more information.

1F3F4 E0067 E0062 E0065 E006E E0067 E007F; Emoji_Tag_Sequence; England                                     #  7.0  [1] (🏴󠁧󠁢󠁥󠁮󠁧󠁿)
1F3F4 E0067 E0062 E0073 E0063 E0074 E007F; Emoji_Tag_Sequence; Scotland                                    #  7.0  [1] (🏴󠁧󠁢󠁳󠁣󠁴󠁿)
1F3F4 E0067 E0062 E0077 E006C E0073 E007F; Emoji_Tag_Sequence; Wales                                       #  7.0  [1] (🏴󠁧󠁢󠁷󠁬󠁳󠁿)

# Total elements: 3

# ================================================

# Emoji Modifier Sequence

261D 1F3FB    ; Emoji_Modifier_Sequence   ; index pointing up: light skin tone                             #  8.0  [1] (☝🏻)
261D 1F3FC    ; Emoji_Modifier_Sequence   ; index pointing up: medium-light skin tone                      #  8.0  [1] (☝🏼)
261D 1F3FD    ; Emoji_Modifier_Sequence   ; index pointing up: medium skin tone                            #  8.0  [1] (☝🏽)
261D 1F3FE    ; Emoji_Modifier_Sequence   ; index pointing up: medium-dark skin tone                       #  8.0  [1] (☝🏾)
261D 1F3FF    ; Emoji_Modifier_Sequence   ; index pointing up: dark skin tone                              #  8.0  [1] (☝🏿)
26F9 1F3FB    ; Emoji_Modifier_Sequence   ; person bouncing ball: light skin tone                          #  8.0  [1] (⛹🏻)
26F9 1F3FC    ; Emoji_Modifier_Sequence   ; person bouncing ball: medium-light skin tone                   #  8.0  [1] (⛹🏼)
26F9 1F3FD    ; Emoji_Modifier_Sequence   ; person bouncing ball: medium skin tone                         #  8.0  [1] (⛹🏽)
26F9 1F3FE    ; Emoji_Modifier_Sequence   ; person bouncing ball: medium-dark skin tone                    #  8.0  [1] (⛹🏾)
26F9 1F3FF    ; Emoji_Modifier_Sequence   ; person bouncing ball: dark skin tone                           #  8.0  [1] (⛹🏿)
270A 1F3FB    ; Emoji_Modifier_Sequence   ; raised fist: light skin tone                                   #  8.0  [1] (✊🏻)
270A 1F3FC    ; Emoji_Modifier_Sequence   ; raised fist: medium-light skin tone                            #  8.0  [1] (✊🏼)
270A 1F3FD    ; Emoji_Modifier_Sequence   ; raised fist: medium skin tone                                  #  8.0  [1] (✊🏽)
270A 1F3FE    ; Emoji_Modifier_Sequence   ; raised fist: medium-dark skin tone                             #  8.0  [1] (✊🏾)
270A 1F3FF    ; Emoji_Modifier_Sequence   ; raised fist: dark skin tone                                    #  8.0  [1] (✊🏿)
270B 1F3FB    ; Emoji_Modifier_Sequence   ; raised hand: light skin tone                                   #  8.0  [1] (✋🏻)
270B 1F3FC    ; Emoji_Modifier_Sequence   ; raised hand: medium-light skin tone                            #  8.0  [1] (✋🏼)
270B 1F3FD    ; Emoji_Modifier_Sequence   ; raised hand: medium skin tone                                  #  8.0  [1] (✋🏽)
270B 1F3FE    ; Emoji_Modifier_Sequence   ; raised hand: medium-dark skin tone                             #  8.0  [1] (✋🏾)
270B 1F3FF    ; Emoji_Modifier_Sequence   ; raised hand: dark skin tone                                    #  8.0  [1] (✋🏿)
270C 1F3FB    ; Emoji_Modifier_Sequence   ; victory hand: light skin tone                                  #  8.0  [1] (✌🏻)
270C 1F3FC    ; Emoji_Modifier_Sequence   ; victory hand: medium-light skin tone                           #  8.0  [1] (✌🏼)
270C 1F3FD    ; Emoji_Modifier_Sequence   ; victory hand: medium skin tone                                 #  8.0  [1] (✌🏽)
270C 1F3FE    ; Emoji_Modifier_Sequence   ; victory hand: medium-dark skin tone                            #  8.0  [1] (✌🏾)
270C 1F3FF    ; Emoji_Modifier_Sequence   ; victory hand: dark skin tone                                   #  8.0  [1] (✌🏿)
270D 1F3FB    ; Emoji_Modifier_Sequence   ; writing hand: light skin tone                                  #  8.0  [1] (✍🏻)
270D 1F3FC    ; Emoji_Modifier_Sequence   ; writing hand: medium-light skin tone                           #  8.0  [1] (✍🏼)
270D 1F3FD    ; Emoji_Modifier_Sequence   ; writing hand: medium skin tone                                 #  8.0  [1] (✍🏽)
270D 1F3FE    ; Emoji_Modifier_Sequence   ; writing hand: medium-dark skin tone                            #  8.0  [1] (✍🏾)
270D 1F3FF    ; Emoji_Modifier_Sequence   ; writing hand: dark skin tone                                   #  8.0  [1] (✍🏿)
1F385 1F3FB   ; Emoji_Modifier_Sequence   ; Santa Claus: light skin tone                                   #  8.0  [1] (🎅🏻)
1F385 1F3FC   ; Emoji_Modifier_Sequence   ; Santa Claus: medium-light skin tone                            #  8.0  [1] (🎅🏼)
1F385 1F3FD   ; Emoji_Modifier_Sequence   ; Santa Claus: medium skin tone                                  #  8.0  [1] (🎅🏽)
1F385 1F3FE   ; Emoji_Modifier_Sequence   ; Santa Claus: medium-dark skin tone                             #  8.0  [1] (🎅🏾)
1F385 1F3FF   ; Emoji_Modifier_Sequence   ; Santa Claus: dark skin tone                                    #  8.0  [1] (🎅🏿)
1F3C2 1F3FB   ; Emoji_Modifier_Sequence   ; snowboarder: light skin tone                                   #  8.0  [1] (🏂🏻)
1F3C2 1F3FC   ; Emoji_Modifier_Sequence   ; snowboarder: medium-light skin tone                            #  8.0  [1] (🏂🏼)
1F3C2 1F3FD   ; Emoji_Modifier_Sequence   ; snowboarder: medium skin tone                                  #  8.0  [1] (🏂🏽)
1F3C2 1F3FE   ; Emoji_Modifier_Sequence   ; snowboarder: medium-dark skin tone                             #  8.0  [1] (🏂🏾)
1F3C2 1F3FF   ; Emoji_Modifier_Sequence   ; snowboarder: dark skin tone                                    #  8.0  [1] (🏂🏿)
1F3C3 1F3FB   ; Emoji_Modifier_Sequence   ; person running: light skin tone                                #  8.0  [1] (🏃🏻)
1F3C3 1F3FC   ; Emoji_Modifier_Sequence   ; person running: medium-light skin tone                         #  8.0  [1] (🏃🏼)
1F3C3 1F3FD   ; Emoji_Modifier_Sequence   ; person running: medium skin tone                               #  8.0  [1] (🏃🏽)
1F3C3 1F3FE   ; Emoji_Modifier_Sequence   ; person running: medium-dark skin tone                          #  8.0  [1] (🏃🏾)
1F3C3 1F3FF   ; Emoji_Modifier_Sequence   ; person running: dark skin tone                                 #  8.0  [1] (🏃🏿)
1F3C4 1F3FB   ; Emoji_Modifier_Sequence   ; person surfing: light skin tone                                #  8.0  [1] (🏄🏻)
1F3C4 1F3FC   ; Emoji_Modifier_Sequence   ; person surfing: medium-light skin tone                         #  8.0  [1] (🏄🏼)
1F3C4 1F3FD   ; Emoji_Modifier_Sequence   ; person surfing: medium skin tone                               #  8.0  [1] (🏄🏽)
1F3C4 1F3FE   ; Emoji_Modifier_Sequence   ; person surfing: medium-dark skin tone                          #  8.0  [1] (🏄🏾)
1F3C4 1F3FF   ; Emoji_Modifier_Sequence   ; person surfing: dark skin tone                                 #  8.0  [1] (🏄🏿)
1F3C7 1F3FB   ; Emoji_Modifier_Sequence   ; horse racing: light skin tone                                  #  8.0  [1] (🏇🏻)
1F3C7 1F3FC   ; Emoji_Modifier_Sequence   ; horse racing: medium-light skin tone                           #  8.0  [1] (🏇🏼)
1F3C7 1F3FD   ; Emoji_Modifier_Sequence   ; horse racing: medium skin tone                                 #  8.0  [1] (🏇🏽)
1F3C7 1F3FE   ; Emoji_Modifier_Sequence   ; horse racing: medium-dark skin tone                            #  8.0  [1] (🏇🏾)
1F3C7 1F3FF   ; Emoji_Modifier_Sequence   ; horse racing: dark skin tone                                   #  8.0  [1] (🏇🏿)
1F3CA 1F3FB   ; Emoji_Modifier_Sequence   ; person swimming: light skin tone                               #  8.0  [1] (🏊🏻)
1F3CA 1F3FC   ; Emoji_Modifier_Sequence   ; person swimming: medium-light skin tone                        #  8.0  [1] (🏊🏼)
1F3CA 1F3FD   ; Emoji_Modifier_Sequence   ; person swimming: medium skin tone                              #  8.0  [1] (🏊🏽)
1F3CA 1F3FE   ; Emoji_Modifier_Sequence   ; person swimming: medium-dark skin tone                         #  8.0  [1] (🏊🏾)
1F3CA 1F3FF   ; Emoji_Modifier_Sequence   ; person swimming: dark skin tone                                #  8.0  [1] (🏊🏿)
1F3CB 1F3FB   ; Emoji_Modifier_Sequence   ; person lifting weights: light skin tone                        #  8.0  [1] (🏋🏻)
1F3CB 1F3FC   ; Emoji_Modifier_Sequence   ; person lifting weights: medium-light skin tone                 #  8.0  [1] (🏋🏼)
1F3CB 1F3FD   ; Emoji_Modifier_Sequence   ; person lifting weights: medium skin tone                       #  8.0  [1] (🏋🏽)
1F3CB 1F3FE   ; Emoji_Modifier_Sequence   ; person lifting weights: medium-dark skin tone                  #  8.0  [1] (🏋🏾)
1F3CB 1F3FF   ; Emoji_Modifier_Sequence   ; person lifting weights: dark skin tone                         #  8.0  [1] (🏋🏿)
1F3CC 1F3FB   ; Emoji_Modifier_Sequence   ; person golfing: light skin tone                                #  8.0  [1] (🏌🏻)
1F3CC 1F3FC   ; Emoji_Modifier_Sequence   ; person golfing: medium-light skin tone                         #  8.0  [1] (🏌🏼)
1F3CC 1F3FD   ; Emoji_Modifier_Sequence   ; person golfing: medium skin tone                               #  8.0  [1] (🏌🏽)
1F3CC 1F3FE   ; Emoji_Modifier_Sequence   ; person golfing: medium-dark skin tone                          #  8.0  [1] (🏌🏾)
1F3CC 1F3FF   ; Emoji_Modifier_Sequence   ; person golfing: dark skin tone                                 #  8.0  [1] (🏌🏿)
1F442 1F3FB   ; Emoji_Modifier_Sequence   ; ear: light skin tone                                           #  8.0  [1] (👂🏻)
1F442 1F3FC   ; Emoji_Modifier_Sequence   ; ear: medium-light skin tone                                    #  8.0  [1] (👂🏼)
1F442 1F3FD   ; Emoji_Modifier_Sequence   ; ear: medium skin tone                                          #  8.0  [1] (👂🏽)
1F442 1F3FE   ; Emoji_Modifier_Sequence   ; ear: medium-dark skin tone                                     #  8.0  [1] (👂🏾)
1F442 1F3FF   ; Emoji_Modifier_Sequence   ; ear: dark skin tone                                            #  8.0  [1] (👂🏿)
1F443 1F3FB   ; Emoji_Modifier_Sequence   ; nose: light skin tone                                          #  8.0  [1] (👃🏻)
1F443 1F3FC   ; Emoji_Modifier_Sequence   ; nose: medium-light skin tone                                   #  8.0  [1] (👃🏼)
1F443 1F3FD   ; Emoji_Modifier_Sequence   ; nose: medium skin tone                                         #  8.0  [1] (👃🏽)
1F443 1F3FE   ; Emoji_Modifier_Sequence   ; nose: medium-dark skin tone                                    #  8.0  [1] (👃🏾)
1F443 1F3FF   ; Emoji_Modifier_Sequence   ; nose: dark skin tone                                           #  8.0  [1] (👃🏿)
1F446 1F3FB   ; Emoji_Modifier_Sequence   ; backhand index pointing up: light skin tone                    #  8.0  [1] (👆🏻)
1F446 1F3FC   ; Emoji_Modifier_Sequence   ; backhand index pointing up: medium-light skin tone             #  8.0  [1] (👆🏼)
1F446 1F3FD   ; Emoji_Modifier_Sequence   ; backhand index pointing up: medium skin tone                   #  8.0  [1] (👆🏽)
1F446 1F3FE   ; Emoji_Modifier_Sequence   ; backhand index pointing up: medium-dark skin tone              #  8.0  [1] (👆🏾)
1F446 1F3FF   ; Emoji_Modifier_Sequence   ; backhand index pointing up: dark skin tone                     #  8.0  [1] (👆🏿)
1F447 1F3FB   ; Emoji_Modifier_Sequence   ; backhand index pointing down: light skin tone                  #  8.0  [1] (👇🏻)
1F447 1F3FC   ; Emoji_Modifier_Sequence   ; backhand index pointing down: medium-light skin tone           #  8.0  [1] (👇🏼)
1F447 1F3FD   ; Emoji_Modifier_Sequence   ; backhand index pointing down: medium skin tone                 #  8.0  [1] (👇🏽)
1F447 1F3FE   ; Emoji_Modifier_Sequence   ; backhand index pointing down: medium-dark skin tone            #  8.0  [1] (👇🏾)
1F447 1F3FF   ; Emoji_Modifier_Sequence   ; backhand index pointing down: dark skin tone                   #  8.0  [1] (👇🏿)
1F448 1F3FB   ; Emoji_Modifier_Sequence   ; backhand index pointing left: light skin tone                  #  8.0  [1] (👈🏻)
1F448 1F3FC   ; Emoji_Modifier_Sequence   ; backhand index pointing left: medium-light skin tone           #  8.0  [1] (👈🏼)
1F448 1F3FD   ; Emoji_Modifier_Sequence   ; backhand index pointing left: medium skin tone                 #  8.0  [1] (👈🏽)
1F448 1F3FE   ; Emoji_Modifier_Sequence   ; backhand index pointing left: medium-dark skin tone            #  8.0  [1] (👈🏾)
1F448 1F3FF   ; Emoji_Modifier_Sequence   ; backhand index pointing left: dark skin tone                   #  8.0  [1] (👈🏿)
1F449 1F3FB   ; Emoji_Modifier_Sequence   ; backhand index pointing right: light skin tone                 #  8.0  [1] (👉🏻)
1F449 1F3FC   ; Emoji_Modifier_Sequence   ; backhand index pointing right: medium-light skin tone          #  8.0  [1] (👉🏼)
1F449 1F3FD   ; Emoji_Modifier_Sequence   ; backhand index pointing right: medium skin tone                #  8.0  [1] (👉🏽)
1F449 1F3FE   ; Emoji_Modifier_Sequence   ; backhand index pointing right: medium-dark skin tone           #  8.0  [1] (👉🏾)
1F449 1F3FF   ; Emoji_Modifier_Sequence   ; backhand index pointing right: dark skin tone                  #  8.0  [1] (👉🏿)
1F44A 1F3FB   ; Emoji_Modifier_Sequence   ; oncoming fist: light skin tone                                 #  8.0  [1] (👊🏻)
1F44A 1F3FC   ; Emoji_Modifier_Sequence   ; oncoming fist: medium-light skin tone                          #  8.0  [1] (👊🏼)
1F44A 1F3FD   ; Emoji_Modifier_Sequence   ; oncoming fist: medium skin tone                                #  8.0  [1] (👊🏽)
1F44A 1F3FE   ; Emoji_Modifier_Sequence   ; oncoming fist: medium-dark skin tone                           #  8.0  [1] (👊🏾)
1F44A 1F3FF   ; Emoji_Modifier_Sequence   ; oncoming fist: dark skin tone                                  #  8.0  [1] (👊🏿)
1F44B 1F3FB   ; Emoji_Modifier_Sequence   ; waving hand: light skin tone                                   #  8.0  [1] (👋🏻)
1F44B 1F3FC   ; Emoji_Modifier_Sequence   ; waving hand: medium-light skin tone                            #  8.0  [1] (👋🏼)
1F44B 1F3FD   ; Emoji_Modifier_Sequence   ; waving hand: medium skin tone                                  #  8.0  [1] (👋🏽)
1F44B 1F3FE   ; Emoji_Modifier_Sequence   ; waving hand: medium-dark skin tone                             #  8.0  [1] (👋🏾)
1F44B 1F3FF   ; Emoji_Modifier_Sequence   ; waving hand: dark skin tone                                    #  8.0  [1] (👋🏿)
1F44C 1F3FB   ; Emoji_Modifier_Sequence   ; OK hand: light skin tone                                       #  8.0  [1] (👌🏻)
1F44C 1F3FC   ; Emoji_Modifier_Sequence   ; OK hand: medium-light skin tone                                #  8.0  [1] (👌🏼)
1F44C 1F3FD   ; Emoji_Modifier_Sequence   ; OK hand: medium skin tone                                      #  8.0  [1] (👌🏽)
1F44C 1F3FE   ; Emoji_Modifier_Sequence   ; OK hand: medium-dark skin tone                                 #  8.0  [1] (👌🏾)
1F44C 1F3FF   ; Emoji_Modifier_Sequence   ; OK hand: dark skin tone                                        #  8.0  [1] (👌🏿)
1F44D 1F3FB   ; Emoji_Modifier_Sequence   ; thumbs up: light skin tone                                     #  8.0  [1] (👍🏻)
1F44D 1F3FC   ; Emoji_Modifier_Sequence   ; thumbs up: medium-light skin tone                              #  8.0  [1] (👍🏼)
1F44D 1F3FD   ; Emoji_Modifier_Sequence   ; thumbs up: medium skin tone                                    #  8.0  [1] (👍🏽)
1F44D 1F3FE   ; Emoji_Modifier_Sequence   ; thumbs up: medium-dark skin tone                               #  8.0  [1] (👍🏾)
1F44D 1F3FF   ; Emoji_Modifier_Sequence   ; thumbs up: dark skin tone                                      #  8.0  [1] (👍🏿)
1F44E 1F3FB   ; Emoji_Modifier_Sequence   ; thumbs down: light skin tone                                   #  8.0  [1] (👎🏻)
1F44E 1F3FC   ; Emoji_Modifier_Sequence   ; thumbs down: medium-light skin tone                            #  8.0  [1] (👎🏼)
1F44E 1F3FD   ; Emoji_Modifier_Sequence   ; thumbs down: medium skin tone                                  #  8.0  [1] (👎🏽)
1F44E 1F3FE   ; Emoji_Modifier_Sequence   ; thumbs down: medium-dark skin tone                             #  8.0  [1] (👎🏾)
1F44E 1F3FF   ; Emoji_Modifier_Sequence   ; thumbs down: dark skin tone                                    #  8.0  [1] (👎🏿)
1F44F 1F3FB   ; Emoji_Modifier_Sequence   ; clapping hands: light skin tone                                #  8.0  [1] (👏🏻)
1F44F 1F3FC   ; Emoji_Modifier_Sequence   ; clapping hands: medium-light skin tone                         #  8.0  [1] (👏🏼)
1F44F 1F3FD   ; Emoji_Modifier_Sequence   ; clapping hands: medium skin tone                               #  8.0  [1] (👏🏽)
1F44F 1F3FE   ; Emoji_Modifier_Sequence   ; clapping hands: medium-dark skin tone                          #  8.0  [1] (👏🏾)
1F44F 1F3FF   ; Emoji_Modifier_Sequence   ; clapping hands: dark skin tone                                 #  8.0  [1] (👏🏿)
1F450 1F3FB   ; Emoji_Modifier_Sequence   ; open hands: light skin tone                                    #  8.0  [1] (👐🏻)
1F450 1F3FC   ; Emoji_Modifier_Sequence   ; open hands: medium-light skin tone                             #  8.0  [1] (👐🏼)
1F450 1F3FD   ; Emoji_Modifier_Sequence   ; open hands: medium skin tone                                   #  8.0  [1] (👐🏽)
1F450 1F3FE   ; Emoji_Modifier_Sequence   ; open hands: medium-dark skin tone                              #  8.0  [1] (👐🏾)
1F450 1F3FF   ; Emoji_Modifier_Sequence   ; open hands: dark skin tone                                     #  8.0  [1] (👐🏿)
1F466 1F3FB   ; Emoji_Modifier_Sequence   ; boy: light skin tone                                           #  8.0  [1] (👦🏻)
1F466 1F3FC   ; Emoji_Modifier_Sequence   ; boy: medium-light skin tone                                    #  8.0  [1] (👦🏼)
1F466 1F3FD   ; Emoji_Modifier_Sequence   ; boy: medium skin tone                                          #  8.0  [1] (👦🏽)
1F466 1F3FE   ; Emoji_Modifier_Sequence   ; boy: medium-dark skin tone                                     #  8.0  [1] (👦🏾)
1F466 1F3FF   ; Emoji_Modifier_Sequence   ; boy: dark skin tone                                            #  8.0  [1] (👦🏿)
1F467 1F3FB   ; Emoji_Modifier_Sequence   ; girl: light skin tone                                          #  8.0  [1] (👧🏻)
1F467 1F3FC   ; Emoji_Modifier_Sequence   ; girl: medium-light skin tone                                   #  8.0  [1] (👧🏼)
1F467 1F3FD   ; Emoji_Modifier_Sequence   ; girl: medium skin tone                                         #  8.0  [1] (👧🏽)
1F467 1F3FE   ; Emoji_Modifier_Sequence   ; girl: medium-dark skin tone                                    #  8.0  [1] (👧🏾)
1F467 1F3FF   ; Emoji_Modifier_Sequence   ; girl: dark skin tone                                           #  8.0  [1] (👧🏿)
1F468 1F3FB   ; Emoji_Modifier_Sequence   ; man: light skin tone                                           #  8.0  [1] (👨🏻)
1F468 1F3FC   ; Emoji_Modifier_Sequence   ; man: medium-light skin tone                                    #  8.0  [1] (👨🏼)
1F468 1F3FD   ; Emoji_Modifier_Sequence   ; man: medium skin tone                                          #  8.0  [1] (👨🏽)
1F468 1F3FE   ; Emoji_Modifier_Sequence   ; man: medium-dark skin tone                                     #  8.0  [1] (👨🏾)
1F468 1F3FF   ; Emoji_Modifier_Sequence   ; man: dark skin tone                                            #  8.0  [1] (👨🏿)
1F469 1F3FB   ; Emoji_Modifier_Sequence   ; woman: light skin tone                                         #  8.0  [1] (👩🏻)
1F469 1F3FC   ; Emoji_Modifier_Sequence   ; woman: medium-light skin tone                                  #  8.0  [1] (👩🏼)
1F469 1F3FD   ; Emoji_Modifier_Sequence   ; woman: medium skin tone                                        #  8.0  [1] (👩🏽)
1F469 1F3FE   ; Emoji_Modifier_Sequence   ; woman: medium-dark skin tone                                   #  8.0  [1] (👩🏾)
1F469 1F3FF   ; Emoji_Modifier_Sequence   ; woman: dark skin tone                                          #  8.0  [1] (👩🏿)
1F46E 1F3FB   ; Emoji_Modifier_Sequence   ; police officer: light skin tone                                #  8.0  [1] (👮🏻)
1F46E 1F3FC   ; Emoji_Modifier_Sequence   ; police officer: medium-light skin tone                         #  8.0  [1] (👮🏼)
1F46E 1F3FD   ; Emoji_Modifier_Sequence   ; police officer: medium skin tone                               #  8.0  [1] (👮🏽)
1F46E 1F3FE   ; Emoji_Modifier_Sequence   ; police officer: medium-dark skin tone                          #  8.0  [1] (👮🏾)
1F46E 1F3FF   ; Emoji_Modifier_Sequence   ; police officer: dark skin tone                                 #  8.0  [1] (👮🏿)
1F470 1F3FB   ; Emoji_Modifier_Sequence   ; bride with veil: light skin tone                               #  8.0  [1] (👰🏻)
1F470 1F3FC   ; Emoji_Modifier_Sequence   ; bride with veil: medium-light skin tone                        #  8.0  [1] (👰🏼)
1F470 1F3FD   ; Emoji_Modifier_Sequence   ; bride with veil: medium skin tone                              #  8.0  [1] (👰🏽)
1F470 1F3FE   ; Emoji_Modifier_Sequence   ; bride with veil: medium-dark skin tone                         #  8.0  [1] (👰🏾)
1F470 1F3FF   ; Emoji_Modifier_Sequence   ; bride with veil: dark skin tone                                #  8.0  [1] (👰🏿)
1F471 1F3FB   ; Emoji_Modifier_Sequence   ; blond-haired person: light skin tone                           #  8.0  [1] (👱🏻)
1F471 1F3FC   ; Emoji_Modifier_Sequence   ; blond-haired person: medium-light skin tone                    #  8.0  [1] (👱🏼)
1F471 1F3FD   ; Emoji_Modifier_Sequence   ; blond-haired person: medium skin tone                          #  8.0  [1] (👱🏽)
1F471 1F3FE   ; Emoji_Modifier_Sequence   ; blond-haired person: medium-dark skin tone                     #  8.0  [1] (👱🏾)
1F471 1F3FF   ; Emoji_Modifier_Sequence   ; blond-haired person: dark skin tone                            #  8.0  [1] (👱🏿)
1F472 1F3FB   ; Emoji_Modifier_Sequence   ; man with Chinese cap: light skin tone                          #  8.0  [1] (👲🏻)
1F472 1F3FC   ; Emoji_Modifier_Sequence   ; man with Chinese cap: medium-light skin tone                   #  8.0  [1] (👲🏼)
1F472 1F3FD   ; Emoji_Modifier_Sequence   ; man with Chinese cap: medium skin tone                         #  8.0  [1] (👲🏽)
